,id,Age,Annual Income,Number of Dependents,Health Score,Previous Claims,Vehicle Age,Credit Score,Insurance Duration,Premium Amount,Policy_Start_Year,Policy_Start_Month,Policy_Start_DayOfWeek,Policy_Age_Days,Age_missing_flag,Annual Income_missing_flag,Marital Status_missing_flag,Number of Dependents_missing_flag,Occupation_missing_flag,Health Score_missing_flag,Previous Claims_missing_flag,Vehicle Age_missing_flag,Credit Score_missing_flag,Insurance Duration_missing_flag,Customer Feedback_missing_flag
id,1.0,-0.0001346964429356776,-0.0008871611599132699,0.0007526924745487356,0.0014137476947685564,-0.00016190129424570933,-0.0014607366806165347,0.0009730877385445655,-0.00035009336241496143,-0.00029159182448030007,-0.00091197053364594,0.0006213108631849871,0.000823870849851531,0.0008290124375894326,8.317577904216611e-06,-0.00010525527789941462,-0.0011175693818628743,-1.6309989523101485e-05,0.00015493362112226612,0.0013909196736313374,6.373199292666257e-05,-0.001418805370350292,-0.001315191927021204,0.0002934555362898174,0.0001646686025992701
Age,-0.0001346964429356776,1.0,-9.245590388575346e-06,0.001474962389221115,0.000880860700530429,0.0018689062859565068,-0.002455041694665188,0.0028417877145691726,-6.365049867602744e-05,-0.0024301791772832633,-0.0031765179552880113,0.0012045391386071244,-0.0012301376985515676,0.003051879772341377,,-0.0013585352098924469,-0.000471571573066788,-0.0004618896890534388,-0.0013535737190889631,0.0014876473121603739,0.0012547087935907953,0.0004751175986128173,0.0009963778119780847,0.0015530114424696156,0.0004994942187628344
Annual Income,-0.0008871611599132699,-9.245590388575346e-06,1.0,0.00213507316810204,0.025530213579642805,0.04306511682713193,-0.0004996567382411891,-0.20142298922692495,0.0003794905357914643,-0.012389791502733678,-0.009950846061644971,0.009027795403221277,0.00013258173446351913,0.008472833923562776,0.001304775773933989,,0.029079348832798207,0.0074640276278842245,-0.0045169519587983115,-0.0024418506521589707,-0.014145176580580657,-0.0011476639886985299,-0.050481108197123044,-7.342101281416676e-05,0.051599247022310585
Number of Dependents,0.0007526924745487356,0.001474962389221115,0.00213507316810204,1.0,0.005152407576210837,-0.004122588368267237,0.001231562854917351,-0.0017141777315810792,-0.00026496287951716503,-0.0009763041727847531,0.00037020573029198733,-0.00046120813959932435,-0.0009738093601891831,-0.0002977747740217824,-0.001973899625384623,0.0010698669397470949,8.723217301897926e-05,,0.0017244980319807133,-0.003940402784999351,-0.003640597339280303,0.0005352597533790389,-0.0017081776567186562,0.0006689793788583116,0.0010395757376033014
Health Score,0.0014137476947685564,0.000880860700530429,0.025530213579642805,0.005152407576210837,1.0,0.001989433322988884,0.00031613177157706465,0.012016008660704873,0.0024869146741575148,0.014704491839797575,-0.0016097351441970841,0.0005399785191253704,-2.91744396620469e-06,0.0015699359394820605,0.002001105455352766,0.013510802598257115,0.0033690865179559085,-0.00037006640142972307,-0.0011023367774138483,,-0.0024042446009872607,-0.0018112619232898948,0.0021465958749155634,0.0018485656587979005,0.0012965186312631164
Previous Claims,-0.00016190129424570933,0.0018689062859565068,0.04306511682713193,-0.004122588368267237,0.001989433322988884,1.0,-0.001171810941327222,0.0368161950943897,0.0030005086574769195,0.04687383081563724,0.0063391018959685005,-0.0021793587613817395,0.0007257984836974902,-0.00613162527922729,0.001420200013172721,0.01878175936479117,0.009135184408795351,0.004506480383802519,-0.004797718201081831,-0.009123384653546205,,0.0014863069354765538,0.00855859947471773,-0.001115805001119095,0.011997436376728005
Vehicle Age,-0.0014607366806165347,-0.002455041694665188,-0.0004996567382411891,0.001231562854917351,0.00031613177157706465,-0.001171810941327222,1.0,0.0005077457178636952,0.0031323408316210693,0.00039095493590821285,0.0016885027297751513,-0.000427858781327673,-0.0006781953163233801,-0.0016578671720498565,-0.0001103729688636982,-0.0009804234767683895,0.001005737724760341,0.0018149377100622494,-0.0016784932251972715,0.0032592680866382604,0.0026715138251390737,,-0.001501683206950596,0.0013323022555113211,-0.0030879276262410424
Credit Score,0.0009730877385445655,0.0028417877145691726,-0.20142298922692495,-0.0017141777315810792,0.012016008660704873,0.0368161950943897,0.0005077457178636952,1.0,0.0004934165740676035,-0.026013712816983073,-0.007301898077767637,0.0037482930076137926,-0.0005874319728941745,0.006817060236304175,-0.00340915272456634,-0.10343945067341778,0.005437385639726715,-0.008200236254433493,0.0074760455404799765,0.05539900460102154,-0.011640703789285396,-0.0012797806598683615,,-7.714535197028745e-05,0.01995329675615803
Insurance Duration,-0.00035009336241496143,-6.365049867602744e-05,0.0003794905357914643,-0.00026496287951716503,0.0024869146741575148,0.0030005086574769195,0.0031323408316210693,0.0004934165740676035,1.0,-2.8189776366881594e-05,-0.0011690875517767181,0.0019497918678425354,0.0008408413512189946,0.000856544619236374,-0.0011170748945500244,-0.00021980479087735412,-0.0007778624311815504,-0.0003456989102957521,-3.21761962175739e-05,0.0016448711039887109,0.002069430851865345,-0.0010212628169417378,-0.003819567908074647,,-0.0007511504147706327
Premium Amount,-0.00029159182448030007,-0.0024301791772832633,-0.012389791502733678,-0.0009763041727847531,0.014704491839797575,0.04687383081563724,0.00039095493590821285,-0.026013712816983073,-2.8189776366881594e-05,1.0,-0.011083600176738428,0.006702101949058226,-2.32957107814773e-05,0.010111467198306918,-0.0009515624310050995,-0.039304366199417594,0.01669656978530887,0.00876178874843584,-0.0069542019425919855,0.016456934583796188,-0.01952993904483721,0.0002463265805110684,-0.00705155024841869,-6.178494890375894e-05,0.02650958578285307
